"Gene" "gene_type" 
"Rv0267" FALSE
"Rv0268c" FALSE
"Rv0269c" FALSE
"Rv0270" FALSE
"Rv0271c" FALSE
"Rv0272c" FALSE
"Rv0273c" FALSE
"Rv0274" FALSE
"Rv0275c" FALSE
"Rv0276" FALSE
"Rv0277c" FALSE
"Rv0278c" FALSE
"Rv0279c" FALSE
"Rv0280" FALSE
"Rv0281" FALSE
"Rv0282" FALSE
"Rv0286" FALSE
"Rv0288" FALSE
"Rv0291" FALSE
"Rv0292" FALSE
"Rv0293c" FALSE
"Rv0294" FALSE
"Rv0295c" FALSE
"Rv0296c" FALSE
"Rv0297" FALSE
"Rv0298" FALSE
"Rv0299" FALSE
"Rv0300" FALSE
"Rv0301" FALSE
"Rv0302" FALSE
"Rv0303" FALSE
"Rv0304c" FALSE
"Rv0305c" FALSE
"Rv0306" FALSE
"Rv0307c" FALSE
"Rv0308" FALSE
"Rv0309" FALSE
"Rv0310c" FALSE
"Rv0311" FALSE
"Rv0312" FALSE
"Rv0313" FALSE
"Rv0314c" FALSE
"Rv0315" FALSE
"Rv0316" FALSE
"Rv0317c" FALSE
"Rv0318c" FALSE
"Rv0319" FALSE
"Rv0320" FALSE
"Rv0321" FALSE
"Rv0322" FALSE
"Rv0323c" FALSE
"Rv0324" FALSE
"Rv0325" FALSE
"Rv0326" FALSE
"Rv0327c" FALSE
"Rv0328" FALSE
"Rv0329c" FALSE
"Rv0330c" FALSE
"Rv0331" FALSE
"Rv0332" FALSE
"Rv0333" FALSE
"Rv0336" FALSE
"Rv0337c" FALSE
"Rv0338c" FALSE
"Rv0339c" FALSE
"Rv0340" FALSE
"Rv0341" FALSE
"Rv0342" FALSE
"Rv0343" FALSE
"Rv0344c" FALSE
"Rv0345" FALSE
"Rv0346c" FALSE
"Rv0347" FALSE
"Rv0348" FALSE
"Rv0349" FALSE
"Rv0351" FALSE
"Rv0352" FALSE
"Rv0353" FALSE
"Rv0354c" FALSE
"Rv0355c" FALSE
"Rv0356c" FALSE
"Rv0358" FALSE
"Rv0359" FALSE
"Rv0360c" FALSE
"Rv0361" FALSE
"Rv0362" FALSE
"Rv0363c" FALSE
"Rv0364" FALSE
"Rv0365c" FALSE
"Rv0366c" FALSE
"Rv0367c" FALSE
"Rv0368c" FALSE
"Rv0369c" FALSE
"Rv0370c" FALSE
"Rv0371c" FALSE
"Rv0372c" FALSE
"Rv0373c" FALSE
"Rv0374c" FALSE
"Rv0375c" FALSE
"Rv0376c" FALSE
"Rv0377" FALSE
"Rv0378" FALSE
"Rv0379" FALSE
"Rv0380c" FALSE
"Rv0381c" FALSE
"Rv0382c" FALSE
"Rv0383c" FALSE
"Rv0384c" FALSE
"Rv0385" FALSE
"Rv0386" FALSE
"Rv0387c" TRUE
"Rv0388c" FALSE
"Rv0389" FALSE
"Rv0390" FALSE
"Rv0391" FALSE
"Rv0392c" FALSE
"Rv0393" FALSE
"Rv0394c" FALSE
"Rv0395" FALSE
"Rv0396" FALSE
"Rv0397" FALSE
"Rv0398c" FALSE
"Rv0399c" FALSE
"Rv0400c" FALSE
"Rv0401" FALSE
"Rv0402c" FALSE
"Rv0403c" FALSE
"Rv0404" FALSE
"Rv0405" FALSE
"Rv0406c" FALSE
"Rv0407" FALSE
"Rv0408" FALSE
"Rv0409" FALSE
"Rv0410c" FALSE
"Rv0411c" FALSE
"Rv0412c" FALSE
"Rv0413" FALSE
"Rv0418" FALSE
"Rv0419" FALSE
"Rv0420c" FALSE
"Rv0421c" FALSE
"Rv0423c" FALSE
"Rv0424c" FALSE
"Rv0425c" FALSE
"Rv0426c" FALSE
"Rv0427c" FALSE
"Rv0428c" FALSE
"Rv0429c" FALSE
"Rv0430" FALSE
"Rv0431" FALSE
"Rv0432" FALSE
"Rv0433" FALSE
"Rv0434" FALSE
"Rv0435c" FALSE
"Rv0436c" FALSE
"Rv0437c" FALSE
"Rv0438c" FALSE
"Rv0439c" FALSE
"Rv0440" FALSE
"Rv0441c" FALSE
"Rv0442c" FALSE
"Rv0443" FALSE
"Rv0444c" FALSE
"Rv0445c" FALSE
"Rv0446c" FALSE
"Rv0447c" FALSE
"Rv0448c" FALSE
"Rv0449c" FALSE
"Rv0450c" FALSE
"Rv0451c" FALSE
"Rv0452" FALSE
"Rv0453" FALSE
"Rv0454" FALSE
"Rv0455c" FALSE
"Rv0456A" FALSE
"Rv0456c" FALSE
"Rv0457c" FALSE
"Rv0458" FALSE
"Rv0459" FALSE
"Rv0460" FALSE
"Rv0461" FALSE
"Rv0463" FALSE
"Rv0464c" FALSE
"Rv0465c" FALSE
"Rv0466" FALSE
"Rv0467" FALSE
"Rv0468" FALSE
"Rv0469" FALSE
"Rv0470A" FALSE
"Rv0470c" FALSE
"Rv0471c" FALSE
"Rv0472c" FALSE
"Rv0473" FALSE
"Rv0474" FALSE
"Rv0475" FALSE
"Rv0476" FALSE
"Rv0477" FALSE
"Rv0478" FALSE
"Rv0479c" FALSE
"Rv0480c" FALSE
"Rv0481c" FALSE
"Rv0482" FALSE
"Rv0483" FALSE
"Rv0484c" FALSE
"Rv0485" FALSE
"Rv0486" FALSE
"Rv0487" FALSE
"Rv0488" FALSE
"Rv0489" FALSE
"Rv0490" FALSE
"Rv0491" FALSE
"Rv0492A" FALSE
"Rv0492c" FALSE
"Rv0493c" FALSE
"Rv0494" FALSE
"Rv0495c" FALSE
"Rv0496" FALSE
"Rv0497" FALSE
"Rv0498" FALSE
"Rv0499" FALSE
"Rv0500" FALSE
"Rv0500A" FALSE
"Rv0500B" FALSE
"Rv0501" FALSE
"Rv0502" FALSE
"Rv0503c" FALSE
"Rv0504c" FALSE
"Rv0505c" FALSE
"Rv0506" FALSE
"Rv0507" FALSE
"Rv0508" FALSE
"Rv0510" FALSE
"Rv0511" FALSE
"Rv0512" FALSE
"Rv0513" FALSE
"Rv0514" FALSE
"Rv0515" FALSE
"Rv0516c" FALSE
"Rv0517" FALSE
"Rv0518" FALSE
"Rv0519c" FALSE
"Rv0520" FALSE
"Rv0521" FALSE
"Rv0522" FALSE
"Rv0523c" FALSE
"Rv0525" FALSE
"Rv0530" FALSE
"Rv0532" FALSE
"Rv0533c" FALSE
"Rv0535" FALSE
"Rv0536" FALSE
"Rv0537c" FALSE
"Rv0538" FALSE
"Rv0539" FALSE
"Rv0540" FALSE
"Rv0541c" FALSE
"Rv0542c" FALSE
"Rv0544c" FALSE
"Rv0545c" FALSE
"Rv0546c" FALSE
"Rv0547c" FALSE
"Rv0548c" FALSE
"Rv0549c" FALSE
"Rv0550c" FALSE
"Rv0551c" FALSE
"Rv0552" FALSE
"Rv0553" FALSE
